 Epoch: 0,batch 77, gloss: 21.36 (mse0.008, adv13.861, perc:7.490); dloss: 1.39 (r0.693, f0.693)
 Epoch: 0,batch 78, gloss: 20.39 (mse0.009, adv13.897, perc:6.481); dloss: 1.39 (r0.696, f0.691)
 Epoch: 0,batch 79, gloss: 21.51 (mse0.008, adv13.914, perc:7.584); dloss: 1.39 (r0.697, f0.690)
 Epoch: 0,batch 80, gloss: 19.94 (mse0.007, adv13.921, perc:6.015); dloss: 1.39 (r0.696, f0.690)
 Epoch: 0,batch 81, gloss: 19.69 (mse0.008, adv13.920, perc:5.761); dloss: 1.39 (r0.696, f0.690)
 Epoch: 0,batch 82, gloss: 19.94 (mse0.008, adv13.925, perc:6.006); dloss: 1.39 (r0.696, f0.690)
 Epoch: 0,batch 83, gloss: 19.87 (mse0.007, adv13.922, perc:5.943); dloss: 1.39 (r0.696, f0.690)
 Epoch: 0,batch 84, gloss: 19.69 (mse0.005, adv13.939, perc:5.745); dloss: 1.39 (r0.697, f0.689)
 Epoch: 0,batch 85, gloss: 20.67 (mse0.009, adv13.921, perc:6.736); dloss: 1.39 (r0.696, f0.690)
 Epoch: 0,batch 86, gloss: 20.78 (mse0.019, adv13.954, perc:6.808); dloss: 1.39 (r0.696, f0.690)
 Epoch: 0,batch 87, gloss: 20.92 (mse0.006, adv13.883, perc:7.035); dloss: 1.39 (r0.693, f0.693)
 Epoch: 0,batch 88, gloss: 19.40 (mse0.050, adv13.827, perc:5.519); dloss: 1.37 (r0.686, f0.682)
 Epoch: 0,batch 89, gloss: 21.65 (mse0.012, adv13.709, perc:7.930); dloss: 1.39 (r0.685, f0.704)
 Epoch: 0,batch 90, gloss: 21.51 (mse0.014, adv13.583, perc:7.914); dloss: 1.39 (r0.681, f0.708)
 Epoch: 0,batch 91, gloss: 20.02 (mse0.010, adv13.619, perc:6.390); dloss: 1.39 (r0.683, f0.705)
 Epoch: 0,batch 92, gloss: 20.62 (mse0.013, adv13.614, perc:6.990); dloss: 1.39 (r0.683, f0.703)
 Epoch: 0,batch 93, gloss: 19.94 (mse0.006, adv13.576, perc:6.356); dloss: 1.39 (r0.681, f0.707)
 Epoch: 0,batch 94, gloss: 20.01 (mse0.005, adv13.752, perc:6.248); dloss: 1.39 (r0.689, f0.699)
 Epoch: 0,batch 95, gloss: 19.87 (mse0.009, adv13.805, perc:6.056); dloss: 1.39 (r0.692, f0.695)
